field_name,unit,stress_xx,stress_yy,stress_zz,stress_xy,stress_xz,stress_yz
tensile_x_y_q1_3,Pa,-402179630.3229244,168152173.39841014,-1933.0921939939808,100.58174736244848,4220.367359061986,-3304.6254230289906
tensile_x_z_q0_0,Pa,1767.3470794291848,-1396.899846823725,441484687.6092357,3043.3919983898995,-134.29604502768643,360.22212689015066
tensile_x_z_q0_1,Pa,526959571.4937651,-362.3458187732772,527425932.61404043,-307.58710446829855,2500.8222371237125,-162.49496932382272
tensile_x_z_q0_2,Pa,217182816.98206514,20.456096250129917,527576918.0083479,1153.9090594838488,531.4206086806093,-2066.315139558863
tensile_x_z_q0_3,Pa,609571352.3239434,1823.1435048874366,250850907.46742755,-2346.7257565946084,4310.984489516022,-1068.66339329287
tensile_x_z_q1_1,Pa,252065328.39679,-405.6897293547917,-249623113.106905,139.02734393063787,107.85337574354145,-584.3677098542662
tensile_x_z_q1_2,Pa,355146264.79598963,424.85268117587884,-145699384.97960928,-36.7180276068209,-97.41071751623986,2302.07024750546
tensile_x_z_q1_3,Pa,143951698.44975215,-911.3108200836873,-344238465.9439398,-622.5879723865403,340.9548089935354,-1199.7930537078714
tensile_y_z_q0_1,Pa,353.0752067479082,467075425.79281414,467580071.97173184,1453.591205372105,209.9881556904022,513.4686015791408
tensile_y_z_q0_2,Pa,1581.7837516009813,622965044.9917305,256632313.42851362,3413.9477004167147,-1825.4189902878386,-1078.973195094824
tensile_y_z_q0_3,Pa,-1271.528624357656,205883045.327575,499865240.98573655,-1326.1916031490034,489.4360089114739,1347.1574744657748
tensile_y_z_q1_1,Pa,641.1823222842995,-269038342.78467804,271674042.1885287,340.8296240226316,-1015.5664444724621,322.51269338554096
tensile_y_z_q1_2,Pa,74.65260209455104,-148174576.33907765,361078245.1701527,-1043.3839517618812,-210.1381030529569,-1734.9067660746173
tensile_y_z_q1_3,Pa,-422.08705956479105,-387107573.08892846,161919651.3680688,360.0910614050352,-7.038068376870228,-88.76771838296156
