field_name,unit,stress_xx,stress_yy,stress_zz,stress_xy,stress_xz,stress_yz
tensile_x_y_q1_1,Pa,-282818329.49271494,284591328.8464458,-160.25463868718293,-312.5862713829128,1178.8838200218722,-1318.5998300213096
tensile_x_y_q1_2,Pa,-169972089.6626941,412919130.5396279,3097.788159839399,-1996.8004123240585,612.7087137241929,159.73561617367272
tensile_x_y_q1_3,Pa,-351186254.01607555,146240456.0792053,-830.8488164867538,-39.55651994760137,713.9399486525693,-1255.6218236175655
tensile_x_y_q2_0,Pa,-393268841.7762138,747.679405842812,-512.3846513309863,1001.7032965237582,2517.822286168316,-66.38013422446437
tensile_x_y_q2_1,Pa,-404078345.7475823,-403047101.3363167,38.40865660016004,1170.1640799989395,770.4941601695423,965.8114224839256
tensile_x_y_q2_2,Pa,-426582371.7242942,-177039733.05333728,207.64527928739557,2054.8411931709725,3606.7843154930433,70.97140501982108
tensile_x_y_q2_3,Pa,-224299800.53676307,-536726823.229373,-1336.189060484052,516.6316147774887,299.92634260550494,83.69083462656954
tensile_x_y_q3_0,Pa,-924.5831473440198,-526754447.05840784,-561.8227085260726,-1549.1470149956772,447.1638103916812,-1811.440700650979
tensile_x_y_q3_1,Pa,336617782.39191425,-331679472.7309628,690.004354293165,1622.967485698052,-198.21867023737445,495.2229955078419
tensile_x_y_q3_2,Pa,186570372.88466,-444060234.4237269,-1157.4928916007852,-1057.609405253987,2988.937391942419,-562.867592457131
tensile_x_y_q3_3,Pa,454820217.4870587,-185689928.957672,-1370.3170582388807,-814.9387802178824,1320.846236188776,-770.9907692822562
tensile_x_z_q0_0,Pa,-1332.0842886730516,1029.5741231217194,408772844.7873278,1187.176959327418,137.8812320607317,772.5680758386773
tensile_x_z_q0_1,Pa,536173656.4105207,25.409645399772785,533943964.5451879,840.5427408173722,1502.6188580380456,-109.88961201981374
tensile_x_z_q0_2,Pa,214468644.39720145,-993.018630226893,518704054.7775459,2865.0665933354016,2590.836195440245,276.90925774206374
tensile_x_z_q0_3,Pa,665991802.6675525,931.7476168917453,272681624.70331806,44.69692293944172,-1719.2852999982074,283.5018514103035
tensile_x_z_q1_1,Pa,284665029.9218609,363.28448904166913,-280087085.5899118,426.5222009692442,343.51423717194297,-791.916454908458
tensile_x_z_q1_2,Pa,405970032.3430303,232.3680963321148,-165463279.18600312,633.3053423240306,246.40658518889612,-1275.3686472766503
tensile_x_z_q1_3,Pa,158934043.2853102,-100.45887469461832,-377703142.6317079,139.93233801924043,-649.229627161431,61.58144612699891
tensile_x_z_q2_0,Pa,-1009.5821275983658,1581.6522498687068,-467770432.6462853,-532.2758352140711,932.6611148751008,-226.52864464612733
tensile_x_z_q2_1,Pa,-510945009.6612742,281.8121386336029,-508132592.3785148,1025.1583675775996,397.4834619989952,648.4696888592362
tensile_x_z_q2_2,Pa,-223261168.1750905,126.70053472432689,-532670946.04788536,-1226.24935266685,-658.0394011222625,113.5405825814986
tensile_x_z_q2_3,Pa,-535252052.0328066,-2224.9777932560914,-222228162.88572356,-158.49075659116113,-5465.579643296587,5116.561466302215
tensile_x_z_q3_1,Pa,-217552587.60596824,182.28465125443245,218569952.000248,-80.43649819769307,16.739465211619102,-1704.2589845518032
tensile_x_z_q3_2,Pa,-297789630.1091963,-1304.9097608309742,123895813.82558072,-309.2911380979509,348.2632608496684,1195.016591421327
tensile_x_z_q3_3,Pa,-127735920.48853476,2741.407284716708,309822453.7266367,-511.3920016066594,1034.0877437248118,723.5005206107909
tensile_y_z_q0_1,Pa,-576.6064316108037,394596568.5012568,394564256.22058976,-581.147335430691,-1361.4029474777717,369.4581775584767
tensile_y_z_q0_2,Pa,-4701.255888152832,582258547.7911028,239751680.0631311,-1886.6168776741183,-1272.1747149680991,4183.045413774839
tensile_y_z_q0_3,Pa,-2114.76095724634,180251339.9579686,436813978.1989376,1141.6821364477305,812.7010007480258,-373.13048185597376
tensile_y_z_q1_1,Pa,75.97330317418061,-265828941.03868407,268239597.7197614,-589.6836667331189,194.49037630761336,24.536412837037236
tensile_y_z_q1_2,Pa,-1310.6108433062682,-142688413.28846392,347335291.0525328,576.2274157433853,767.7256305584986,1258.7056395888235
tensile_y_z_q1_3,Pa,112.95122703193942,-388640638.925302,162463137.01091123,468.2364367074726,-101.99001968184076,-869.3018402206388
tensile_y_z_q2_1,Pa,53.959481589845495,-537647878.3200029,-536334211.27051514,-725.1110852229782,-2814.173556217822,1630.0781805180713
tensile_y_z_q2_2,Pa,-570.8469572856809,-651811320.1352986,-271430073.97065616,661.8008149819004,-1930.0819714008117,819.924401157987
tensile_y_z_q2_3,Pa,915.5740818551316,-232067144.2947839,-555621074.6567343,-1568.31860400824,-227.210562568158,1472.862103903302
tensile_y_z_q3_1,Pa,-41.225585038214206,276097184.12215096,-272835105.2146389,247.70447123811792,249.93548947853185,-538.5319139059658
tensile_y_z_q3_2,Pa,-233.45648104553027,153692704.4513776,-366752185.4893898,121.63909143101203,600.7424736894775,546.931645088996
tensile_y_z_q3_3,Pa,517.4001931271029,394273316.61090535,-161414340.00781223,-662.0254744611962,-645.1951734741657,-34.663838627836185
